title,artist,peak_position,total_weeks,first_chart_date,main_genre,all_genres,genre_source
Thriller,Michael Jackson,4,2,2025-11-08,R&B,pop; dance-pop; disco; contemporary r&b; pop soul,musicbrainz
Santa Tell Me,Ariana Grande,5,3,2025-01-04,R&B,pop; r&b,lastfm
It's The Most Wonderful Time Of The Year,Andy Williams,5,3,2025-01-04,Jazz/Blues,christmas music; easy listening; easy listening soundtracks and musicals; jazz,musicbrainz
Hey Now,Kendrick Lamar Featuring Dody6,5,10,2025-01-04,Unknown,No genre data,none
The Giver,Chappell Roan,5,8,2025-03-29,Pop,synth-pop; queer; alternative pop; dance-pop; gay pop,musicbrainz
Love Me Not,Ravyn Lenae,5,34,2025-04-12,R&B,alternative r&b; contemporary r&b; neo soul; pop; r&b,musicbrainz
Wood,Taylor Swift,5,7,2025-10-18,Country,pop; country; country pop; singer/songwriter; female vocals,musicbrainz
Feliz Navidad,Jose Feliciano,6,2,2025-01-04,Pop,bolero; latin pop; acoustic guitar; christmas music; folk pop,musicbrainz
That's So True,Gracie Abrams,6,29,2025-01-04,Pop,folk pop; pop; bedroom pop; singer-songwriter; 2020s,musicbrainz
Mutt,Leon Thomas,6,42,2025-02-08,Hip Hop/Rap,soul; neo-soul; hip hop soul,lastfm
Gimme A Hug,Drake,6,11,2025-03-01,Hip Hop/Rap,hip hop; pop rap,musicbrainz
Wi$h Li$t,Taylor Swift,6,7,2025-10-18,Country,pop; country; country pop; singer/songwriter; female vocals,musicbrainz
Let It Snow! Let It Snow! Let It Snow!,Dean Martin,7,2,2025-01-04,Country,pop; big band; christmas music; country pop; easy listening,musicbrainz
